title,authors,publication_date,file_path,topics,specialties,clinical_significance,patient_population,pmid,doi,reading_time_minutes,pubmed_enriched
Abametapir 0.74% (Xeglyze) for the Treatment of Head Lice.,"['Sunder, Meera']",2022-07-01,2022/07/abametapir-074-xeglyze-for-the-treatment-of-head-lice.md,['Family Medicine'],['Family Medicine'],High,Adults,35839355,,6,True
Acute Diarrhea in Adults.,"['Meisenheimer, Erica S', 'Epstein, Carly', 'Thiel, Derrick']",2022-07-01,2022/07/acute-diarrhea-in-adults.md,"['Family Medicine', 'Infectious Disease', 'Antimicrobial Therapy', 'Pharmacology']",['Family Medicine'],High,Adults,35839362,,6,True
Acute Pancreatitis: Rapid Evidence Review.,"['Oppenlander, Kathryn E', 'Chadwick, Christina', 'Carman, Kayla']",2022-07-01,2022/07/acute-pancreatitis-rapid-evidence-review.md,"['Family Medicine', 'Digestive Disorders', 'Gastroenterology']",['Family Medicine'],High,Adults,35839366,,6,True
All-Cause Mortality Is Comparable in Patients With Left Main Coronary Artery Disease Treated With PCI or CABG.,[],2022-07-01,2022/07/all-cause-mortality-is-comparable-in-patients-with-left-main.md,['Family Medicine'],['Family Medicine'],High,Adults,35839350,,6,True
Assisting Adult Protective Services in Addressing Maltreatment in Older Adults.,"['Unwin, Brian K', 'Stubbs, Sarah L', ""D'Heron, Holly""]",2022-07-01,2022/07/assisting-adult-protective-services-in-addressing-maltreatme.md,['Family Medicine'],['Family Medicine'],High,Geriatric,35839353,,6,True
Care of the Active Female.,"['Wojnowich, Katherine', 'Dhani, Rachel']",2022-07-01,2022/07/care-of-the-active-female.md,"['Metabolic Disorders', 'Chronic Disease Management', 'Long-term Care', 'Obstetrics', 'Pregnancy', 'Maternal Health', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']","['Psychiatry', 'Family Medicine']",High,Maternal,35839365,,6,True
Case Report: Multiple Supernumerary Nipples in a Young Woman.,[],2022-07-01,2022/07/case-report-multiple-supernumerary-nipples-in-a-young-woman.md,['Family Medicine'],['Family Medicine'],High,Adults,35839377,,6,True
Celiac Disease.,[],2022-07-01,2022/07/celiac-disease.md,['Family Medicine'],['Family Medicine'],High,Adults,35839367,,5,True
Celiac Disease: Common Questions and Answers.,"['Williams, Pamela M', 'Harris, Lisa M', 'Odom, Michael R']",2022-07-01,2022/07/celiac-disease-common-questions-and-answers.md,"['Screening', 'Gastroenterology', 'Early Detection', 'Prevention', 'Family Medicine', 'Digestive Disorders']",['Family Medicine'],High,Pediatric,35839368,,6,True
Circular Skin Lesion.,"['Schroeder, Jeremy D', 'Cruz, Marco Jose Dela']",2022-07-01,2022/07/circular-skin-lesion.md,['Family Medicine'],['Family Medicine'],High,Adults,35839358,,6,True
Closed-Loop System Improves Glycemic Control but Not Hypoglycemia for Young Children With Type 1 Diabetes Mellitus.,[],2022-07-01,2022/07/closed-loop-system-improves-glycemic-control-but-not-hypogly.md,"['Diabetes Mellitus', 'Endocrinology', 'Family Medicine', 'Metabolic Disorders']",['Family Medicine'],High,Pediatric,35839352,,6,True
Controversial Topics in Family Medicine and Our Duty to Engage.,"['Tunzi, Marc', 'Ventres, William', 'Day, Philip G', 'Satin, David J']",2022-07-01,2022/07/controversial-topics-in-family-medicine-and-our-duty-to-enga.md,['Family Medicine'],['Family Medicine'],High,Adults,35839375,,6,True
Coronary Artery Calcium Scoring for Prevention of Cardiovascular Disease.,"['Choi, Hiu Ying Joanna']",2022-07-01,2022/07/coronary-artery-calcium-scoring-for-prevention-of-cardiovasc.md,['Family Medicine'],['Family Medicine'],High,Adults,35839354,,6,True
"DPP-4 Inhibitors, GLP-1 Receptor Agonists, and SGLT-2 Inhibitors for People With Cardiovascular Disease.","['Sonoda, Kento', 'Saguil, Aaron']",2022-07-01,2022/07/dpp-4-inhibitors-glp-1-receptor-agonists-and-sglt-2-inhibito.md,"['Diabetes Mellitus', 'Endocrinology', 'Family Medicine', 'Metabolic Disorders']",['Family Medicine'],High,Adults,35839371,,6,True
Descending Maculopapular Rash in a Child.,"['Lew, Sungyub', 'Lau, Jacqueline', 'Al-Hashimi, Nada']",2022-07-01,2022/07/descending-maculopapular-rash-in-a-child.md,['Family Medicine'],['Family Medicine'],High,Adults,35839359,,6,True
Does Exercise During Pregnancy Decrease the Risk of Developing Hypertensive Disorders?,"['Wolferz, Richard', 'Fotoohi, Misha', 'Spiess, Saskia', 'Ose, Dominik', 'Vukelic, Brian', 'Fortenberry, Katherine T']",2022-07-01,2022/07/does-exercise-during-pregnancy-decrease-the-risk-of-developi.md,"['Blood Pressure', 'Hypertension', 'Obstetrics', 'Pregnancy', 'Cardiovascular Disease', 'Maternal Health', 'Family Medicine']",['Family Medicine'],High,Maternal,35839357,,6,True
Effectiveness of Epidural Steroid Injections for Low Back Pain.,"['Shelton, Socorro', 'Yochum, Andrew', 'Walker, Ethan', 'Waters, Nicole']",2022-07-01,2022/07/effectiveness-of-epidural-steroid-injections-for-low-back-pa.md,['Family Medicine'],['Family Medicine'],High,Adults,35839356,,6,True
"Ethics, Education, and American Family Physician.","['Sexton, Sumi M']",2022-07-01,2022/07/ethics-education-and-american-family-physician.md,['Family Medicine'],['Family Medicine'],High,Adults,35839374,,6,True
High-Flow Nasal Oxygen for Acute Respiratory Failure: Guidelines From the American College of Physicians.,[],2022-07-01,2022/07/high-flow-nasal-oxygen-for-acute-respiratory-failure-guideli.md,"['Respiratory Disorders', 'Family Medicine', 'Pulmonology']",['Family Medicine'],High,Adults,35839348,,6,True
Membrane Sweeping at Term to Induce Labor.,"['Ford, Brian', 'Anderson, Andrew', 'Nichols, Carrie']",2022-07-01,2022/07/membrane-sweeping-at-term-to-induce-labor.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Adults,35839373,,6,True
Office-Based Urinalysis: A Comprehensive Review.,"['Hitzeman, Nathan', 'Greer, Dineen', 'Carpio, Erik']",2022-07-01,2022/07/office-based-urinalysis-a-comprehensive-review.md,"['Metabolic Disorders', 'Obstetrics', 'Pregnancy', 'Maternal Health', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine']",['Family Medicine'],High,Pediatric,35839369,,6,True
Palliative Care Interventions in Advanced Dementia.,"['Rey, Jeanmarie B', 'Bevan, Jeffrey R', 'Danyluk, Jill E']",2022-07-01,2022/07/palliative-care-interventions-in-advanced-dementia.md,['Family Medicine'],['Family Medicine'],High,Adults,35839370,,6,True
Palliative Care of Patients With Cancer: Guidelines From the National Comprehensive Cancer Network.,[],2022-07-01,2022/07/palliative-care-of-patients-with-cancer-guidelines-from-the.md,"['Malignancy', 'Family Medicine', 'Cancer Screening', 'Oncology']",['Family Medicine'],High,Adults,35839347,,6,True
Proton Pump Inhibitor Use Associated With an Increased Risk of Gastric Cancer.,[],2022-07-01,2022/07/proton-pump-inhibitor-use-associated-with-an-increased-risk.md,"['Malignancy', 'Family Medicine', 'Cancer Screening', 'Oncology']",['Family Medicine'],High,Adults,35839349,,6,True
RED-S in the Active Female.,[],2022-07-01,2022/07/red-s-in-the-active-female.md,['Family Medicine'],['Family Medicine'],High,Adults,35839364,,6,True
Screening for Chlamydia and Gonorrhea.,"['Peaker, Brandy', 'Biondokin, Emilie']",2022-07-01,2022/07/screening-for-chlamydia-and-gonorrhea.md,"['Screening', 'Family Medicine', 'Prevention', 'Early Detection']",['Family Medicine'],High,Adults,35839360,,6,True
Several Drugs Are Effective for Weight Loss in Obese or Overweight Adults; It Is Unclear Whether They Improve Health Outcomes.,[],2022-07-01,2022/07/several-drugs-are-effective-for-weight-loss-in-obese-or-over.md,['Family Medicine'],['Family Medicine'],High,Adults,35839351,,6,True
Top 20 Research Studies of 2021 for Primary Care Physicians.,"['Ebell, Mark H', 'Grad, Roland']",2022-07-01,2022/07/top-20-research-studies-of-2021-for-primary-care-physicians.md,"['Psychiatry', 'Metabolic Disorders', 'Prevention', 'Screening', 'Oncology', 'Malignancy', 'Depression', 'Early Detection', 'Mental Health', 'Diabetes Mellitus', 'Endocrinology', 'Family Medicine', 'Cancer Screening']",['Family Medicine'],High,Pediatric,35839363,,6,True
Treatment of Chagas Disease in Breastfeeding Dyads.,[],2022-07-01,2022/07/treatment-of-chagas-disease-in-breastfeeding-dyads.md,['Family Medicine'],['Family Medicine'],High,Adults,35839376,,6,True
Abdominal Aortic Aneurysm.,"['Haque, Kabiul', 'Bhargava, Peeyush']",2022-08-01,2022/08/abdominal-aortic-aneurysm.md,"['Blood Pressure', 'Hypertension', 'Screening', 'Early Detection', 'Cardiovascular Disease', 'Prevention', 'Family Medicine']",['Family Medicine'],High,Adults,35977132,,6,True
